epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2135416567325592,0.0010000000474974513,4.705321311950684,0.5,4.60250997543335
1,0.4010416567325592,0.0010000000474974513,4.568888187408447,0.5,4.1863694190979
2,0.4010416567325592,0.0010000000474974513,3.869680404663086,0.5,2.479358673095703
3,0.4010416567325592,0.0010000000474974513,3.124483108520508,0.5,2.5458714962005615
4,0.4010416567325592,0.0010000000474974513,2.879960060119629,0.5,2.6135663986206055
5,0.4010416567325592,0.0010000000474974513,2.830573558807373,0.5,2.506511926651001
6,0.4010416567325592,0.0010000000474974513,2.7749881744384766,0.5,2.449514150619507
7,0.4010416567325592,0.0010000000474974513,2.7598490715026855,0.5,2.4700558185577393
8,0.4010416567325592,0.0010000000474974513,2.7103261947631836,0.5,2.51298451423645
9,0.4010416567325592,0.0010000000474974513,2.7091946601867676,0.5,2.4804115295410156
10,0.4010416567325592,0.0010000000474974513,2.6765308380126953,0.5,2.4797255992889404
11,0.4010416567325592,0.0010000000474974513,2.6398234367370605,0.5,2.5010147094726562
12,0.40625,0.0010000000474974513,2.6249592304229736,0.5,2.505235433578491
13,0.40625,0.0010000000474974513,2.603715658187866,0.5,2.519336700439453
14,0.40625,0.0010000000474974513,2.5891056060791016,0.5416666865348816,2.5422604084014893
15,0.421875,0.0005000000237487257,2.5700085163116455,0.5208333730697632,2.5557620525360107
16,0.4270833134651184,0.0005000000237487257,2.5734705924987793,0.5208333730697632,2.5618739128112793
17,0.4166666865348816,0.0005000000237487257,2.5507962703704834,0.5208333730697632,2.5705363750457764
18,0.4270833432674408,0.0005000000237487257,2.546522617340088,0.5,2.583477258682251
19,0.4427083432674408,0.0005000000237487257,2.5380136966705322,0.5,2.5929956436157227
20,0.4270833432674408,0.0005000000237487257,2.5366439819335938,0.5,2.603212594985962
21,0.4322916865348816,0.0005000000237487257,2.5232694149017334,0.5,2.618295431137085
