accuracy,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy,learning_rate
0.9095370173454285,0.292107492685318,0.9798333048820496,0.9548333287239075,0.15145613253116608,0.9956666827201843,0.0010000000474974513
0.9557777643203735,0.14697495102882385,0.9946110844612122,0.9639999866485596,0.1268046349287033,0.9951666593551636,0.0010000000474974513
0.9662407636642456,0.11299996078014374,0.9960370659828186,0.965833306312561,0.11540570110082626,0.9983333349227905,0.0010000000474974513
0.9697222113609314,0.0963844284415245,0.9970185160636902,0.9621666669845581,0.12778666615486145,0.996666669845581,0.0010000000474974513
0.9740926027297974,0.08664185553789139,0.9977222084999084,0.9700000286102295,0.09995898604393005,0.996999979019165,0.0010000000474974513
0.9764259457588196,0.07549156993627548,0.9980925917625427,0.9674999713897705,0.1238425001502037,0.996833324432373,0.0010000000474974513
0.9774073958396912,0.07196115702390671,0.9983518719673157,0.9769999980926514,0.09391468018293381,0.9973333477973938,0.0010000000474974513
0.9799073934555054,0.06487087905406952,0.9984444379806519,0.9746666550636292,0.10154114663600922,0.9976666569709778,0.0010000000474974513
0.9800000190734863,0.06504499912261963,0.998629629611969,0.9764999747276306,0.09776061028242111,0.9971666932106018,0.0010000000474974513
0.9815370440483093,0.05982856824994087,0.9985926151275635,0.9791666865348816,0.09257058799266815,0.996999979019165,0.0010000000474974513
0.9821666479110718,0.05451540648937225,0.9988148212432861,0.9750000238418579,0.11300745606422424,0.9978333115577698,0.0010000000474974513
0.9837407469749451,0.05209368094801903,0.9988518357276917,0.9758333563804626,0.11995243281126022,0.9958333373069763,0.0010000000474974513
0.9834073781967163,0.052011776715517044,0.9991111159324646,0.9750000238418579,0.11506655067205429,0.9958333373069763,0.0010000000474974513
0.9848148226737976,0.04923825338482857,0.9989073872566223,0.9763333201408386,0.10244158655405045,0.9971666932106018,0.0010000000474974513
0.9871666431427002,0.042240411043167114,0.9992592334747314,0.9768333435058594,0.09917113184928894,0.996999979019165,0.0010000000474974513
0.9915370345115662,0.02774164453148842,0.9995926022529602,0.9803333282470703,0.09984536468982697,0.9976666569709778,0.0005000000237487257
0.9933703541755676,0.020461246371269226,0.9997592568397522,0.9806666374206543,0.0950818881392479,0.9980000257492065,0.0005000000237487257
0.9940184950828552,0.01814895123243332,0.9998888969421387,0.9816666841506958,0.10158701241016388,0.9981666803359985,0.0005000000237487257
0.9936851859092712,0.01833750121295452,0.9999444484710693,0.981166660785675,0.1040896400809288,0.9980000257492065,0.0005000000237487257
0.994259238243103,0.01754307746887207,0.9998518228530884,0.9786666631698608,0.1219574511051178,0.9975000023841858,0.0005000000237487257
